('kaistattani', 'kaista+N+Sg+Abe+PxSg1', 'kaista, singular, abessive, first person singular')
('kaistallesi', 'kaista+N+Sg+All+PxSg2', 'kaista, singular, allative, second person singular')
('kaistoillesi', 'kaista+N+Pl+All+PxSg2', 'kaista, plural, allative, second person singular')
('kaistalleen', 'kaista+N+Sg+All+PxSg3', 'kaista, singular, allative, third person singular')
('kaistallensa', 'kaista+N+Sg+All+PxSg3', 'kaista, singular, allative, third person singular')
('kaistoillean', 'kaista+N+Pl+All+PxSg3', 'kaista, plural, allative, third person singular')
('kaistoillensa', 'kaista+N+Pl+All+PxSg3', 'kaista, plural, allative, third person singular')
('kaistallemme', 'kaista+N+Sg+All+PxPl1', 'kaista, singular, allative, first person plural')
('kaistoillemme', 'kaista+N+Pl+All+PxPl1', 'kaista, plural, allative, first person plural')
('kaistallenne', 'kaista+N+Sg+All+PxPl2', 'kaista, singular, allative, second person plural')
('kaistoillenne', 'kaista+N+Pl+All+PxPl2', 'kaista, plural, allative, second person plural')
('kaistalleen', 'kaista+N+Sg+All+PxPl3', 'kaista, singular, allative, third person plural')
('kaistallensa', 'kaista+N+Sg+All+PxPl3', 'kaista, singular, allative, third person plural')
('kaistoillean', 'kaista+N+Pl+All+PxPl3', 'kaista, plural, allative, third person plural')
('kaistoillensa', 'kaista+N+Pl+All+PxPl3', 'kaista, plural, allative, third person plural')
('kaistaltani', 'kaista+N+Sg+Abl+PxSg1', 'kaista, singular, ablative, first person singular')
('kaistoiltani', 'kaista+N+Pl+Abl+PxSg1', 'kaista, plural, ablative, first person singular')
('kaistaltasi', 'kaista+N+Sg+Abl+PxSg2', 'kaista, singular, ablative, second person singular')
('kaistoiltasi', 'kaista+N+Pl+Abl+PxSg2', 'kaista, plural, ablative, second person singular')
('kaistaltaan', 'kaista+N+Sg+Abl+PxSg3', 'kaista, singular, ablative, third person singular')
('kaistaltansa', 'kaista+N+Sg+Abl+PxSg3', 'kaista, singular, ablative, third person singular')
('kaistoiltaan', 'kaista+N+Pl+Abl+PxSg3', 'kaista, plural, ablative, third person singular')
('kaistoiltansa', 'kaista+N+Pl+Abl+PxSg3', 'kaista, plural, ablative, third person singular')
('kaistaltamme', 'kaista+N+Sg+Abl+PxPl1', 'kaista, singular, ablative, first person plural')
('kaistoiltamme', 'kaista+N+Pl+Abl+PxPl1', 'kaista, plural, ablative, first person plural')
('kaistaltanne', 'kaista+N+Sg+Abl+PxPl2', 'kaista, singular, ablative, second person plural')
('kaistoiltanne', 'kaista+N+Pl+Abl+PxPl2', 'kaista, plural, ablative, second person plural')
('kaistaltaan', 'kaista+N+Sg+Abl+PxPl3', 'kaista, singular, ablative, third person plural')
('kaistaltansa', 'kaista+N+Sg+Abl+PxPl3', 'kaista, singular, ablative, third person plural')
('kaistoiltaan', 'kaista+N+Pl+Abl+PxPl3', 'kaista, plural, ablative, third person plural')
('kaistoiltansa', 'kaista+N+Pl+Abl+PxPl3', 'kaista, plural, ablative, third person plural')
('kaistani', 'kaista+N+Sg+Gen+PxSg1', 'kaista, singular, genitive, first person singular')
('kaistojeni', 'kaista+N+Pl+Gen+PxSg1', 'kaista, plural, genitive, first person singular')
('kaistasi', 'kaista+N+Sg+Gen+PxSg2', 'kaista, singular, genitive, second person singular')
('kaistojesi', 'kaista+N+Pl+Gen+PxSg2', 'kaista, plural, genitive, second person singular')
('kaistansa', 'kaista+N+Sg+Gen+PxSg3', 'kaista, singular, genitive, third person singular')
('kaistojensa', 'kaista+N+Pl+Gen+PxSg3', 'kaista, plural, genitive, third person singular')
('kaistamme', 'kaista+N+Sg+Gen+PxPl1', 'kaista, singular, genitive, first person plural')
('kaistojemme', 'kaista+N+Pl+Gen+PxPl1', 'kaista, plural, genitive, first person plural')
('kaistanne', 'kaista+N+Sg+Gen+PxPl2', 'kaista, singular, genitive, second person plural')
('kaistojenne', 'kaista+N+Pl+Gen+PxPl2', 'kaista, plural, genitive, second person plural')
('kaistansa', 'kaista+N+Sg+Gen+PxPl3', 'kaista, singular, genitive, third person plural')
('kaistojensa', 'kaista+N+Pl+Gen+PxPl3', 'kaista, plural, genitive, third person plural')
('kaistassani', 'kaista+N+Sg+Ine+PxSg1', 'kaista, singular, inessive, first person singular')
('kaistoissani', 'kaista+N+Pl+Ine+PxSg1', 'kaista, plural, inessive, first person singular')
('kaistassasi', 'kaista+N+Sg+Ine+PxSg2', 'kaista, singular, inessive, second person singular')
('kaistoissasi', 'kaista+N+Pl+Ine+PxSg2', 'kaista, plural, inessive, second person singular')
('kaistassaan', 'kaista+N+Sg+Ine+PxSg3', 'kaista, singular, inessive, third person singular')
('kaistassansa', 'kaista+N+Sg+Ine+PxSg3', 'kaista, singular, inessive, third person singular')
('kaistoissaan', 'kaista+N+Pl+Ine+PxSg3', 'kaista, plural, inessive, third person singular')
('kaistoissansa', 'kaista+N+Pl+Ine+PxSg3', 'kaista, plural, inessive, third person singular')
('kaistassamme', 'kaista+N+Sg+Ine+PxPl1', 'kaista, singular, inessive, first person plural')
('kaistoissamme', 'kaista+N+Pl+Ine+PxPl1', 'kaista, plural, inessive, first person plural')
('kaistassanne', 'kaista+N+Sg+Ine+PxPl2', 'kaista, singular, inessive, second person plural')
('kaistoissanne', 'kaista+N+Pl+Ine+PxPl2', 'kaista, plural, inessive, second person plural')
('kaistassaan', 'kaista+N+Sg+Ine+PxPl3', 'kaista, singular, inessive, third person plural')
('kaistassansa', 'kaista+N+Sg+Ine+PxPl3', 'kaista, singular, inessive, third person plural')
('kaistoissaan', 'kaista+N+Pl+Ine+PxPl3', 'kaista, plural, inessive, third person plural')
('kaistoissansa', 'kaista+N+Pl+Ine+PxPl3', 'kaista, plural, inessive, third person plural')
('kaistaani', 'kaista+N+Sg+Ill+PxSg1', 'kaista, singular, illative, first person singular')
('kaistoihini', 'kaista+N+Pl+Ill+PxSg1', 'kaista, plural, illative, first person singular')
('kaistaasi', 'kaista+N+Sg+Ill+PxSg2', 'kaista, singular, illative, second person singular')
('kaistoihisi', 'kaista+N+Pl+Ill+PxSg2', 'kaista, plural, illative, second person singular')
('kaistaansa', 'kaista+N+Sg+Ill+PxSg3', 'kaista, singular, illative, third person singular')
('kaistoihinsa', 'kaista+N+Pl+Ill+PxSg3', 'kaista, plural, illative, third person singular')
('kaistaamme', 'kaista+N+Sg+Ill+PxPl1', 'kaista, singular, illative, first person plural')
('kaistoihimme', 'kaista+N+Pl+Ill+PxPl1', 'kaista, plural, illative, first person plural')
('kaistaanne', 'kaista+N+Sg+Ill+PxPl2', 'kaista, singular, illative, second person plural')
('kaistoihinne', 'kaista+N+Pl+Ill+PxPl2', 'kaista, plural, illative, second person plural')
('kaistaansa', 'kaista+N+Sg+Ill+PxPl3', 'kaista, singular, illative, third person plural')
('kaistoihinsa', 'kaista+N+Pl+Ill+PxPl3', 'kaista, plural, illative, third person plural')
('kaistastani', 'kaista+N+Sg+Ela+PxSg1', 'kaista, singular, elative, first person singular')
('kaistoistani', 'kaista+N+Pl+Ela+PxSg1', 'kaista, plural, elative, first person singular')
('kaistastasi', 'kaista+N+Sg+Ela+PxSg2', 'kaista, singular, elative, second person singular')
('kaistoistasi', 'kaista+N+Pl+Ela+PxSg2', 'kaista, plural, elative, second person singular')
('kaistastaan', 'kaista+N+Sg+Ela+PxSg3', 'kaista, singular, elative, third person singular')
('kaistastansa', 'kaista+N+Sg+Ela+PxSg3', 'kaista, singular, elative, third person singular')
('kaistoistaan', 'kaista+N+Pl+Ela+PxSg3', 'kaista, plural, elative, third person singular')
('kaistoistansa', 'kaista+N+Pl+Ela+PxSg3', 'kaista, plural, elative, third person singular')
('kaistastamme', 'kaista+N+Sg+Ela+PxPl1', 'kaista, singular, elative, first person plural')
('kaistoistamme', 'kaista+N+Pl+Ela+PxPl1', 'kaista, plural, elative, first person plural')
('kaistastanne', 'kaista+N+Sg+Ela+PxPl2', 'kaista, singular, elative, second person plural')
('kaistoistanne', 'kaista+N+Pl+Ela+PxPl2', 'kaista, plural, elative, second person plural')
('kaistastaan', 'kaista+N+Sg+Ela+PxPl3', 'kaista, singular, elative, third person plural')
('kaistastansa', 'kaista+N+Sg+Ela+PxPl3', 'kaista, singular, elative, third person plural')
('kaistoistaan', 'kaista+N+Pl+Ela+PxPl3', 'kaista, plural, elative, third person plural')
('kaistoistansa', 'kaista+N+Pl+Ela+PxPl3', 'kaista, plural, elative, third person plural')
('kaistakseni', 'kaista+N+Sg+Tra+PxSg1', 'kaista, singular, translative, first person singular')
('kaistoikseni', 'kaista+N+Pl+Tra+PxSg1', 'kaista, plural, translative, first person singular')
('kaistaksesi', 'kaista+N+Sg+Tra+PxSg2', 'kaista, singular, translative, second person singular')
('kaistoiksesi', 'kaista+N+Pl+Tra+PxSg2', 'kaista, plural, translative, second person singular')
('kaistakseen', 'kaista+N+Sg+Tra+PxSg3', 'kaista, singular, translative, third person singular')
('kaistaksensa', 'kaista+N+Sg+Tra+PxSg3', 'kaista, singular, translative, third person singular')
('kaistoikseen', 'kaista+N+Pl+Tra+PxSg3', 'kaista, plural, translative, third person singular')
('kaistoiksensa', 'kaista+N+Pl+Tra+PxSg3', 'kaista, plural, translative, third person singular')
('kaistaksemme', 'kaista+N+Sg+Tra+PxPl1', 'kaista, singular, translative, first person plural')
('kaistoiksemme', 'kaista+N+Pl+Tra+PxPl1', 'kaista, plural, translative, first person plural')
('kaistaksenne', 'kaista+N+Sg+Tra+PxPl2', 'kaista, singular, translative, second person plural')
('kaistoiksenne', 'kaista+N+Pl+Tra+PxPl2', 'kaista, plural, translative, second person plural')
('kaistakseen', 'kaista+N+Sg+Tra+PxPl3', 'kaista, singular, translative, third person plural')
('kaistaksensa', 'kaista+N+Sg+Tra+PxPl3', 'kaista, singular, translative, third person plural')
('kaistoikseen', 'kaista+N+Pl+Tra+PxPl3', 'kaista, plural, translative, third person plural')
('kaistoiksensa', 'kaista+N+Pl+Tra+PxPl3', 'kaista, plural, translative, third person plural')
('kaistanani', 'kaista+N+Sg+Ess+PxSg1', 'kaista, singular, essive, first person singular')
('kaistoinani', 'kaista+N+Pl+Ess+PxSg1', 'kaista, plural, essive, first person singular')
('kaistanasi', 'kaista+N+Sg+Ess+PxSg2', 'kaista, singular, essive, second person singular')
('kaistoinasi', 'kaista+N+Pl+Ess+PxSg2', 'kaista, plural, essive, second person singular')
('kaistanaan', 'kaista+N+Sg+Ess+PxSg3', 'kaista, singular, essive, third person singular')
('kaistanansa', 'kaista+N+Sg+Ess+PxSg3', 'kaista, singular, essive, third person singular')
('kaistoinaan', 'kaista+N+Pl+Ess+PxSg3', 'kaista, plural, essive, third person singular')
('kaistoinansa', 'kaista+N+Pl+Ess+PxSg3', 'kaista, plural, essive, third person singular')
('kaistanamme', 'kaista+N+Sg+Ess+PxPl1', 'kaista, singular, essive, first person plural')
('kaistoinamme', 'kaista+N+Pl+Ess+PxPl1', 'kaista, plural, essive, first person plural')
('kaistananne', 'kaista+N+Sg+Ess+PxPl2', 'kaista, singular, essive, second person plural')
('kaistoinanne', 'kaista+N+Pl+Ess+PxPl2', 'kaista, plural, essive, second person plural')
('kaistanaan', 'kaista+N+Sg+Ess+PxPl3', 'kaista, singular, essive, third person plural')
('kaistanansa', 'kaista+N+Sg+Ess+PxPl3', 'kaista, singular, essive, third person plural')
('kaistoinaan', 'kaista+N+Pl+Ess+PxPl3', 'kaista, plural, essive, third person plural')
('kaistoinansa', 'kaista+N+Pl+Ess+PxPl3', 'kaista, plural, essive, third person plural')
('kaistaani', 'kaista+N+Sg+Par+PxSg1', 'kaista, singular, partitive, first person singular')
('kaistojani', 'kaista+N+Pl+Par+PxSg1', 'kaista, plural, partitive, first person singular')
('kaistaasi', 'kaista+N+Sg+Par+PxSg2', 'kaista, singular, partitive, second person singular')
('kaistojasi', 'kaista+N+Pl+Par+PxSg2', 'kaista, plural, partitive, second person singular')
('kaistaaan', 'kaista+N+Sg+Par+PxSg3', 'kaista, singular, partitive, third person singular')
('kaistaansa', 'kaista+N+Sg+Par+PxSg3', 'kaista, singular, partitive, third person singular')
('kaistojaan', 'kaista+N+Pl+Par+PxSg3', 'kaista, plural, partitive, third person singular')
('kaistojansa', 'kaista+N+Pl+Par+PxSg3', 'kaista, plural, partitive, third person singular')
('kaistaamme', 'kaista+N+Sg+Par+PxPl1', 'kaista, singular, partitive, first person plural')
('kaistojamme', 'kaista+N+Pl+Par+PxPl1', 'kaista, plural, partitive, first person plural')
('kaistaanne', 'kaista+N+Sg+Par+PxPl2', 'kaista, singular, partitive, second person plural')
('kaistojanne', 'kaista+N+Pl+Par+PxPl2', 'kaista, plural, partitive, second person plural')
('kaistaaan', 'kaista+N+Sg+Par+PxPl3', 'kaista, singular, partitive, third person plural')
('kaistaansa', 'kaista+N+Sg+Par+PxPl3', 'kaista, singular, partitive, third person plural')
('kaistojaan', 'kaista+N+Pl+Par+PxPl3', 'kaista, plural, partitive, third person plural')
('kaistojansa', 'kaista+N+Pl+Par+PxPl3', 'kaista, plural, partitive, third person plural')
('kaistani', 'kaista+N+Sg+Nom+PxSg1', 'kaista, singular, nominative, first person singular')
('kaistani', 'kaista+N+Pl+Nom+PxSg1', 'kaista, plural, nominative, first person singular')
('kaistasi', 'kaista+N+Sg+Nom+PxSg2', 'kaista, singular, nominative, second person singular')
('kaistasi', 'kaista+N+Pl+Nom+PxSg2', 'kaista, plural, nominative, second person singular')
('kaistansa', 'kaista+N+Sg+Nom+PxSg3', 'kaista, singular, nominative, third person singular')
('kaistansa', 'kaista+N+Pl+Nom+PxSg3', 'kaista, plural, nominative, third person singular')
('kaistamme', 'kaista+N+Sg+Nom+PxPl1', 'kaista, singular, nominative, first person plural')
('kaistamme', 'kaista+N+Pl+Nom+PxPl1', 'kaista, plural, nominative, first person plural')
('kaistanne', 'kaista+N+Sg+Nom+PxPl2', 'kaista, singular, nominative, second person plural')
('kaistanne', 'kaista+N+Pl+Nom+PxPl2', 'kaista, plural, nominative, second person plural')
('kaistansa', 'kaista+N+Sg+Nom+PxPl3', 'kaista, singular, nominative, third person plural')
('kaistansa', 'kaista+N+Pl+Nom+PxPl3', 'kaista, plural, nominative, third person plural')
('kinoksettani', 'kinos+N+Sg+Abe+PxSg1', 'kinos, singular, abessive, first person singular')
('kinoksittani', 'kinos+N+Pl+Abe+PxSg1', 'kinos, plural, abessive, first person singular')
('kinoksettasi', 'kinos+N+Sg+Abe+PxSg2', 'kinos, singular, abessive, second person singular')
('kinoksittasi', 'kinos+N+Pl+Abe+PxSg2', 'kinos, plural, abessive, second person singular')
('kinoksettaan', 'kinos+N+Sg+Abe+PxSg3', 'kinos, singular, abessive, third person singular')
('kinoksettansa', 'kinos+N+Sg+Abe+PxSg3', 'kinos, singular, abessive, third person singular')
('kinoksittaan', 'kinos+N+Pl+Abe+PxSg3', 'kinos, plural, abessive, third person singular')
('kinoksittansa', 'kinos+N+Pl+Abe+PxSg3', 'kinos, plural, abessive, third person singular')
('kinoksettamme', 'kinos+N+Sg+Abe+PxPl1', 'kinos, singular, abessive, first person plural')
('kinoksittamme', 'kinos+N+Pl+Abe+PxPl1', 'kinos, plural, abessive, first person plural')
('kinoksettanne', 'kinos+N+Sg+Abe+PxPl2', 'kinos, singular, abessive, second person plural')
('kinoksittanne', 'kinos+N+Pl+Abe+PxPl2', 'kinos, plural, abessive, second person plural')
('kinoksettaan', 'kinos+N+Sg+Abe+PxPl3', 'kinos, singular, abessive, third person plural')
('kinoksettansa', 'kinos+N+Sg+Abe+PxPl3', 'kinos, singular, abessive, third person plural')
('kinoksittaan', 'kinos+N+Pl+Abe+PxPl3', 'kinos, plural, abessive, third person plural')
('kinoksittansa', 'kinos+N+Pl+Abe+PxPl3', 'kinos, plural, abessive, third person plural')
('kinoksellani', 'kinos+N+Sg+Ade+PxSg1', 'kinos, singular, adessive, first person singular')
('kinoksillani', 'kinos+N+Pl+Ade+PxSg1', 'kinos, plural, adessive, first person singular')
('kinoksellasi', 'kinos+N+Sg+Ade+PxSg2', 'kinos, singular, adessive, second person singular')
('kinoksillasi', 'kinos+N+Pl+Ade+PxSg2', 'kinos, plural, adessive, second person singular')
('kinoksellaan', 'kinos+N+Sg+Ade+PxSg3', 'kinos, singular, adessive, third person singular')
('kinoksellansa', 'kinos+N+Sg+Ade+PxSg3', 'kinos, singular, adessive, third person singular')
('kinoksillaan', 'kinos+N+Pl+Ade+PxSg3', 'kinos, plural, adessive, third person singular')
('kinoksillansa', 'kinos+N+Pl+Ade+PxSg3', 'kinos, plural, adessive, third person singular')
('kinoksellamme', 'kinos+N+Sg+Ade+PxPl1', 'kinos, singular, adessive, first person plural')
('kinoksillamme', 'kinos+N+Pl+Ade+PxPl1', 'kinos, plural, adessive, first person plural')
('kinoksellanne', 'kinos+N+Sg+Ade+PxPl2', 'kinos, singular, adessive, second person plural')
('kinoksillanne', 'kinos+N+Pl+Ade+PxPl2', 'kinos, plural, adessive, second person plural')
('kinoksellaan', 'kinos+N+Sg+Ade+PxPl3', 'kinos, singular, adessive, third person plural')
('kinoksellansa', 'kinos+N+Sg+Ade+PxPl3', 'kinos, singular, adessive, third person plural')
('kinoksillaan', 'kinos+N+Pl+Ade+PxPl3', 'kinos, plural, adessive, third person plural')
('kinoksillansa', 'kinos+N+Pl+Ade+PxPl3', 'kinos, plural, adessive, third person plural')
('kinokselleni', 'kinos+N+Sg+All+PxSg1', 'kinos, singular, allative, first person singular')
('kinoksilleni', 'kinos+N+Pl+All+PxSg1', 'kinos, plural, allative, first person singular')
('kinoksellesi', 'kinos+N+Sg+All+PxSg2', 'kinos, singular, allative, second person singular')
('kinoksillesi', 'kinos+N+Pl+All+PxSg2', 'kinos, plural, allative, second person singular')
('kinokselleen', 'kinos+N+Sg+All+PxSg3', 'kinos, singular, allative, third person singular')
('kinoksellensa', 'kinos+N+Sg+All+PxSg3', 'kinos, singular, allative, third person singular')
('kinoksillean', 'kinos+N+Pl+All+PxSg3', 'kinos, plural, allative, third person singular')
('kinoksillensa', 'kinos+N+Pl+All+PxSg3', 'kinos, plural, allative, third person singular')
('kinoksellemme', 'kinos+N+Sg+All+PxPl1', 'kinos, singular, allative, first person plural')
('kinoksillemme', 'kinos+N+Pl+All+PxPl1', 'kinos, plural, allative, first person plural')
('kinoksellenne', 'kinos+N+Sg+All+PxPl2', 'kinos, singular, allative, second person plural')
('kinoksillenne', 'kinos+N+Pl+All+PxPl2', 'kinos, plural, allative, second person plural')
('kinokselleen', 'kinos+N+Sg+All+PxPl3', 'kinos, singular, allative, third person plural')
('kinoksellensa', 'kinos+N+Sg+All+PxPl3', 'kinos, singular, allative, third person plural')
('kinoksillean', 'kinos+N+Pl+All+PxPl3', 'kinos, plural, allative, third person plural')
('kinoksillensa', 'kinos+N+Pl+All+PxPl3', 'kinos, plural, allative, third person plural')
('kinokseltani', 'kinos+N+Sg+Abl+PxSg1', 'kinos, singular, ablative, first person singular')
('kinoksiltani', 'kinos+N+Pl+Abl+PxSg1', 'kinos, plural, ablative, first person singular')
('kinokseltasi', 'kinos+N+Sg+Abl+PxSg2', 'kinos, singular, ablative, second person singular')
('kinoksiltasi', 'kinos+N+Pl+Abl+PxSg2', 'kinos, plural, ablative, second person singular')
('kinokseltaan', 'kinos+N+Sg+Abl+PxSg3', 'kinos, singular, ablative, third person singular')
('kinokseltansa', 'kinos+N+Sg+Abl+PxSg3', 'kinos, singular, ablative, third person singular')
('kinoksiltaan', 'kinos+N+Pl+Abl+PxSg3', 'kinos, plural, ablative, third person singular')
('kinoksiltansa', 'kinos+N+Pl+Abl+PxSg3', 'kinos, plural, ablative, third person singular')
('kinokseltamme', 'kinos+N+Sg+Abl+PxPl1', 'kinos, singular, ablative, first person plural')
('kinoksiltamme', 'kinos+N+Pl+Abl+PxPl1', 'kinos, plural, ablative, first person plural')
('kinokseltanne', 'kinos+N+Sg+Abl+PxPl2', 'kinos, singular, ablative, second person plural')
('kinoksiltanne', 'kinos+N+Pl+Abl+PxPl2', 'kinos, plural, ablative, second person plural')
('kinokseltaan', 'kinos+N+Sg+Abl+PxPl3', 'kinos, singular, ablative, third person plural')
('kinokseltansa', 'kinos+N+Sg+Abl+PxPl3', 'kinos, singular, ablative, third person plural')
('kinoksiltaan', 'kinos+N+Pl+Abl+PxPl3', 'kinos, plural, ablative, third person plural')
('kinoksiltansa', 'kinos+N+Pl+Abl+PxPl3', 'kinos, plural, ablative, third person plural')
('kinokseni', 'kinos+N+Sg+Gen+PxSg1', 'kinos, singular, genitive, first person singular')
('kinoksieni', 'kinos+N+Pl+Gen+PxSg1', 'kinos, plural, genitive, first person singular')
('kinosteni', 'kinos+N+Pl+Gen+PxSg1', 'kinos, plural, genitive, first person singular')
('kinoksesi', 'kinos+N+Sg+Gen+PxSg2', 'kinos, singular, genitive, second person singular')
('kinoksiesi', 'kinos+N+Pl+Gen+PxSg2', 'kinos, plural, genitive, second person singular')
('kinostesi', 'kinos+N+Pl+Gen+PxSg2', 'kinos, plural, genitive, second person singular')
('kinoksensa', 'kinos+N+Sg+Gen+PxSg3', 'kinos, singular, genitive, third person singular')
('kinoksiensa', 'kinos+N+Pl+Gen+PxSg3', 'kinos, plural, genitive, third person singular')
('kinostensa', 'kinos+N+Pl+Gen+PxSg3', 'kinos, plural, genitive, third person singular')
('kinoksemme', 'kinos+N+Sg+Gen+PxPl1', 'kinos, singular, genitive, first person plural')
('kinoksiemme', 'kinos+N+Pl+Gen+PxPl1', 'kinos, plural, genitive, first person plural')
('kinostemme', 'kinos+N+Pl+Gen+PxPl1', 'kinos, plural, genitive, first person plural')
('kinoksenne', 'kinos+N+Sg+Gen+PxPl2', 'kinos, singular, genitive, second person plural')
('kinoksienne', 'kinos+N+Pl+Gen+PxPl2', 'kinos, plural, genitive, second person plural')
('kinostenne', 'kinos+N+Pl+Gen+PxPl2', 'kinos, plural, genitive, second person plural')
('kinoksensa', 'kinos+N+Sg+Gen+PxPl3', 'kinos, singular, genitive, third person plural')
('kinoksiensa', 'kinos+N+Pl+Gen+PxPl3', 'kinos, plural, genitive, third person plural')
('kinostensa', 'kinos+N+Pl+Gen+PxPl3', 'kinos, plural, genitive, third person plural')
('kinoksessani', 'kinos+N+Sg+Ine+PxSg1', 'kinos, singular, inessive, first person singular')
('kinoksissani', 'kinos+N+Pl+Ine+PxSg1', 'kinos, plural, inessive, first person singular')
('kinoksessasi', 'kinos+N+Sg+Ine+PxSg2', 'kinos, singular, inessive, second person singular')
('kinoksissasi', 'kinos+N+Pl+Ine+PxSg2', 'kinos, plural, inessive, second person singular')
('kinoksessaan', 'kinos+N+Sg+Ine+PxSg3', 'kinos, singular, inessive, third person singular')
('kinoksessansa', 'kinos+N+Sg+Ine+PxSg3', 'kinos, singular, inessive, third person singular')
('kinoksissaan', 'kinos+N+Pl+Ine+PxSg3', 'kinos, plural, inessive, third person singular')
('kinoksissansa', 'kinos+N+Pl+Ine+PxSg3', 'kinos, plural, inessive, third person singular')
('kinoksessamme', 'kinos+N+Sg+Ine+PxPl1', 'kinos, singular, inessive, first person plural')
('kinoksissamme', 'kinos+N+Pl+Ine+PxPl1', 'kinos, plural, inessive, first person plural')
('kinoksessanne', 'kinos+N+Sg+Ine+PxPl2', 'kinos, singular, inessive, second person plural')
('kinoksissanne', 'kinos+N+Pl+Ine+PxPl2', 'kinos, plural, inessive, second person plural')
('kinoksessaan', 'kinos+N+Sg+Ine+PxPl3', 'kinos, singular, inessive, third person plural')
('kinoksessansa', 'kinos+N+Sg+Ine+PxPl3', 'kinos, singular, inessive, third person plural')
('kinoksissaan', 'kinos+N+Pl+Ine+PxPl3', 'kinos, plural, inessive, third person plural')
('kinoksissansa', 'kinos+N+Pl+Ine+PxPl3', 'kinos, plural, inessive, third person plural')
('kinokseeni', 'kinos+N+Sg+Ill+PxSg1', 'kinos, singular, illative, first person singular')
('kinoksiini', 'kinos+N+Pl+Ill+PxSg1', 'kinos, plural, illative, first person singular')
('kinokseesi', 'kinos+N+Sg+Ill+PxSg2', 'kinos, singular, illative, second person singular')
('kinoksiisi', 'kinos+N+Pl+Ill+PxSg2', 'kinos, plural, illative, second person singular')
('kinokseensa', 'kinos+N+Sg+Ill+PxSg3', 'kinos, singular, illative, third person singular')
('kinoksiinsa', 'kinos+N+Pl+Ill+PxSg3', 'kinos, plural, illative, third person singular')
('kinokseemme', 'kinos+N+Sg+Ill+PxPl1', 'kinos, singular, illative, first person plural')
